iter	Logloss
0	0.6765281837
1	0.6643840905
2	0.6552479136
3	0.6482307036
4	0.643129819
5	0.6388876848
6	0.6357452433
7	0.632719838
8	0.6300219544
9	0.6278984245
10	0.6254106031
11	0.6236790312
12	0.6218700291
13	0.6204487977
14	0.6191484516
15	0.6178329226
16	0.6169124861
17	0.6160042639
18	0.6151698673
19	0.6142324743
20	0.6136169522
21	0.6129717753
22	0.612391063
23	0.6118533393
24	0.6111042111
25	0.6105407952
26	0.6099890484
27	0.609526532
28	0.6091412329
29	0.6087854982
30	0.608446179
31	0.6081247028
32	0.6077533903
33	0.6073546605
34	0.6070990354
35	0.6067539008
36	0.6064515309
37	0.6061008225
38	0.6058227703
39	0.605511861
40	0.60526044
41	0.6050619869
42	0.604913711
43	0.6046971552
44	0.6044348699
45	0.6041909256
46	0.6039758975
47	0.6037526182
48	0.6035590685
49	0.6033118594
50	0.6031435922
51	0.6029807052
52	0.6028742075
53	0.6026502403
54	0.6025425496
55	0.6024073341
56	0.6022627416
57	0.6020623847
58	0.60189634
59	0.6017622802
60	0.6016243108
61	0.6014829179
62	0.6013570276
63	0.601212533
64	0.6011083177
65	0.60098377
66	0.6008898947
67	0.6007866904
68	0.6006984036
69	0.600547037
70	0.6004644461
71	0.6003740146
72	0.6002606234
73	0.6001264802
74	0.6000214133
75	0.599927783
76	0.5998108746
77	0.5997410255
78	0.5996387609
79	0.5995621882
80	0.5994783748
81	0.5994070763
82	0.5993147754
83	0.5991823026
84	0.599088555
85	0.5989857579
86	0.5988674958
87	0.5987967065
88	0.5987437864
89	0.598690505
90	0.59863047
91	0.5985222751
92	0.5984228061
93	0.5983485541
94	0.5982748059
95	0.5982040139
96	0.5980746192
97	0.5979886819
98	0.5979339397
99	0.5978266896
100	0.5976726992
101	0.5976035691
102	0.5974969611
103	0.5974228141
104	0.5973452544
105	0.5972713003
106	0.5972074215
107	0.5971186379
108	0.5970412014
109	0.5969369186
110	0.5968893597
111	0.5968426538
112	0.5967985595
113	0.596725906
114	0.5966574423
115	0.5965991533
116	0.5965328648
117	0.5964396482
118	0.5963609897
119	0.5962987252
120	0.5962638441
121	0.5961948462
122	0.5961146672
123	0.5960460071
124	0.5959624765
125	0.5958546087
126	0.595823155
127	0.5957377645
128	0.5956471285
129	0.5956024558
130	0.5954871134
131	0.5954275739
132	0.5953615383
133	0.5953111235
134	0.5952097664
135	0.5951306164
136	0.5950606779
137	0.5949853779
138	0.5948805551
139	0.5948081845
140	0.594747097
141	0.5946843041
142	0.5945993439
143	0.5945465783
144	0.5944766983
145	0.5944307196
146	0.5943854002
147	0.5943267568
148	0.5942940761
149	0.594236576
150	0.5941332775
151	0.5940874065
152	0.5940570564
153	0.594022214
154	0.5939532174
155	0.5939180194
156	0.5938804339
157	0.5938421064
158	0.5937820901
159	0.5937160229
160	0.5936778604
161	0.5936219369
162	0.5935687109
163	0.5935119343
164	0.5934427565
165	0.5934063321
166	0.5933404814
167	0.5932978527
168	0.5932332136
169	0.593195736
170	0.5931212981
171	0.5930806677
172	0.5930226198
173	0.5929646857
174	0.5929332571
175	0.5928658699
176	0.5928125976
177	0.5927703853
178	0.5927190953
179	0.5926618421
180	0.5926240993
181	0.5925593404
182	0.5925024886
183	0.592451314
184	0.5924089045
185	0.592359351
186	0.5923161163
187	0.5922568131
188	0.5921996315
189	0.5921674277
190	0.5921265261
191	0.5920849649
192	0.5920469555
193	0.5920073079
194	0.5919592639
195	0.5918990018
196	0.5918342805
197	0.5917982735
198	0.5917484371
199	0.591716628
200	0.591677009
201	0.591617838
202	0.5915339926
203	0.5914817015
204	0.5914157234
205	0.5913578325
206	0.5913004057
207	0.5912547124
208	0.5911665986
209	0.5911246925
210	0.591074426
211	0.5910243263
212	0.5909680819
213	0.5909279235
214	0.5908823737
215	0.5908395371
216	0.5908011799
217	0.5907732135
218	0.5907427353
219	0.5907070712
220	0.5906782988
221	0.5906401057
222	0.5905985658
223	0.590560201
224	0.5905169379
225	0.5904722603
226	0.5904314095
227	0.590402433
228	0.5903679311
229	0.590324964
230	0.5902853006
231	0.590234443
232	0.5901889802
233	0.5901501593
234	0.590097102
235	0.590055299
236	0.5900215117
237	0.5899778633
238	0.5899483665
239	0.5899044048
240	0.589858743
241	0.5898114966
242	0.5897813342
243	0.5897485921
244	0.5897066718
245	0.5896791047
246	0.5896365502
247	0.5895815369
248	0.5895266231
249	0.5894785653
250	0.5894422342
251	0.5893934931
252	0.5893691487
253	0.5893337203
254	0.5892928549
255	0.5892771626
256	0.5892392124
257	0.5891693341
258	0.589135936
259	0.5890815809
260	0.5890501964
261	0.5890238558
262	0.5889673567
263	0.5889424753
264	0.5888952737
265	0.5888636235
266	0.5888379519
267	0.5887889523
268	0.5887391765
269	0.5887199266
270	0.5886909726
271	0.5886682873
272	0.5886104929
273	0.5885799065
274	0.5885484058
275	0.5885186984
276	0.5884818584
277	0.5884302177
278	0.588386184
279	0.5883504079
280	0.5883234768
281	0.588294715
282	0.5882669847
283	0.5882262015
284	0.5881942529
285	0.5881679136
286	0.5881354107
287	0.588099902
288	0.5880697715
289	0.5879870869
290	0.5879555378
291	0.5878853886
292	0.5878589235
293	0.5878344914
294	0.5877996187
295	0.5877663034
296	0.5877338099
297	0.5877161195
298	0.5876799581
299	0.5876613438
300	0.5876124469
301	0.5875767661
302	0.5875573868
303	0.5875346521
304	0.5874980172
305	0.5874645738
306	0.5874394276
307	0.5874003908
308	0.5873800334
309	0.5873515789
310	0.5873302873
311	0.5873067003
312	0.5872838852
313	0.5872562087
314	0.5872252064
315	0.5871810432
316	0.5871447251
317	0.5871162646
318	0.5870911348
319	0.587059693
320	0.5870172181
321	0.586992885
322	0.5869622104
323	0.5869221396
324	0.5868985708
325	0.5868632419
326	0.5868362915
327	0.5868111614
328	0.5867848388
329	0.5867540527
330	0.5867355655
331	0.5867016148
332	0.5866540477
333	0.5866310243
334	0.5866027933
335	0.5865813805
336	0.586545158
337	0.5865184318
338	0.5864900869
339	0.5864613801
340	0.5864267304
341	0.5863953059
342	0.5863574445
343	0.5863147387
344	0.5862882903
345	0.5862569354
346	0.5862157012
347	0.5861883921
348	0.5861420016
349	0.5861214701
350	0.5860960781
351	0.5860570429
352	0.5860347289
353	0.5860130757
354	0.5859880594
355	0.5859564451
356	0.5859367426
357	0.5859034735
358	0.5858743542
359	0.5858492184
360	0.5858117674
361	0.5857951875
362	0.5857655014
363	0.5857390177
364	0.5856943651
365	0.5856423005
366	0.5856110774
367	0.5855871738
368	0.5855376218
369	0.5855062538
370	0.5854829841
371	0.5854611435
372	0.5854331664
373	0.5853999889
374	0.5853671251
375	0.5853428054
376	0.5853222566
377	0.5852985625
378	0.5852698006
379	0.58523608
380	0.585213702
381	0.5851805139
382	0.58513827
383	0.5851056839
384	0.5850466436
385	0.5850273542
386	0.5849958711
387	0.5849655204
388	0.5849392766
389	0.584908441
390	0.5848933261
391	0.584861518
392	0.5848224103
393	0.5848058202
394	0.584773352
395	0.5847506923
396	0.5847232376
397	0.5846713061
398	0.5846399958
399	0.5846046847
400	0.5845785842
401	0.5845610986
402	0.5845334713
403	0.5845042602
404	0.5844626155
405	0.5844328549
406	0.584401596
407	0.5843617036
408	0.5843345714
409	0.5843006166
410	0.5842707093
411	0.58422924
412	0.5842075866
413	0.5841830576
414	0.5841583647
415	0.584137191
416	0.5841050476
417	0.5840763156
418	0.5840599759
419	0.5840269095
420	0.5840127222
421	0.5839892814
422	0.583966212
423	0.5839343049
424	0.583917931
425	0.5839034294
426	0.5838776761
427	0.5838448818
428	0.583818157
429	0.5838007304
430	0.5837609632
431	0.5837276982
432	0.5837019014
433	0.5836723826
434	0.5836269407
435	0.5835930133
436	0.5835621478
437	0.5835340259
438	0.5835008188
439	0.5834785173
440	0.583448763
441	0.5834060176
442	0.5833818375
443	0.5833625519
444	0.5833238716
445	0.5833016565
446	0.5832771283
447	0.5832463746
448	0.5832237958
449	0.5832039519
450	0.5831865757
451	0.583166384
452	0.5831487366
453	0.5831259934
454	0.5831044194
455	0.583076695
456	0.5830439278
457	0.5830349947
458	0.5829999667
459	0.5829652348
460	0.5829394905
461	0.5829179961
462	0.5828783798
463	0.5828545255
464	0.5828299
465	0.5828026245
466	0.5827839992
467	0.582757343
468	0.5827286618
469	0.5827112244
470	0.5826921272
471	0.5826587276
472	0.5826366108
473	0.5826141298
474	0.5825962285
475	0.5825710943
476	0.5825464469
477	0.5825173648
478	0.5824683546
479	0.5824421145
480	0.5824279345
481	0.5823927584
482	0.5823657328
483	0.5823368157
484	0.5823000361
485	0.582271018
486	0.5822361094
487	0.5822154134
488	0.5821887538
489	0.5821584534
490	0.5821391922
491	0.5821095347
492	0.5820813757
493	0.5820622258
494	0.5820331346
495	0.5820086154
496	0.5819822294
497	0.5819525156
498	0.5819289917
499	0.5819113076
500	0.5818847199
501	0.5818578996
502	0.5818404218
503	0.5818043515
504	0.581785076
505	0.581746206
506	0.5817319843
507	0.5817158058
508	0.5816966191
509	0.5816629271
510	0.5816273345
511	0.5815964047
512	0.5815523691
513	0.581524155
514	0.581495884
515	0.5814825707
516	0.5814657759
517	0.5814389668
518	0.5814227006
519	0.5813977203
520	0.5813711934
521	0.5813412136
522	0.58131906
523	0.5812925645
524	0.5812729745
525	0.5812585488
526	0.5812347065
527	0.5812145611
528	0.581189665
529	0.5811566468
530	0.5811350998
531	0.5811084164
532	0.5810888496
533	0.5810524181
534	0.5810171458
535	0.5809961567
536	0.5809759716
537	0.5809463862
538	0.5809307679
539	0.5809103692
540	0.580887161
541	0.5808649471
542	0.5808423565
543	0.5808157239
544	0.5807968732
545	0.5807589475
546	0.5807350898
547	0.5807258718
548	0.5807095472
549	0.5806915681
550	0.5806692003
551	0.5806398225
552	0.580618793
553	0.5805998412
554	0.5805827937
555	0.5805674417
556	0.5805439203
557	0.580523063
558	0.5805096927
559	0.5804891568
560	0.5804667755
561	0.5804435317
562	0.5804177955
563	0.5803862046
564	0.5803636886
565	0.5803320294
566	0.5803084741
567	0.5802911829
568	0.5802700181
569	0.580247324
570	0.5802330537
571	0.5801956901
572	0.5801726633
573	0.5801510168
574	0.5801263583
575	0.5801098988
576	0.5800991846
577	0.5800780267
578	0.580054263
579	0.5800394364
580	0.5800138373
581	0.5799899681
582	0.5799689734
583	0.5799434207
584	0.5799150715
585	0.5798977771
586	0.5798770604
587	0.5798509145
588	0.5798374119
589	0.5798124292
590	0.5797914266
591	0.579775453
592	0.5797528944
593	0.5797318404
594	0.5797124936
595	0.5796912164
596	0.5796725164
597	0.5796551406
598	0.579637074
599	0.5796250347
600	0.5795969291
601	0.5795769463
602	0.5795537286
603	0.5795228943
604	0.5794962435
605	0.5794781211
606	0.579450673
607	0.5794295439
608	0.5794088904
609	0.5794010314
610	0.579371862
611	0.5793479581
612	0.5793311058
613	0.5793060812
614	0.5792883336
615	0.5792723675
616	0.5792579403
617	0.5792241647
618	0.5792059907
619	0.5791764713
620	0.5791619257
621	0.5791452065
622	0.5791245914
623	0.5791080012
624	0.5790941936
625	0.5790793573
626	0.5790635139
627	0.5790447209
628	0.5790220524
629	0.5789963743
630	0.5789773924
631	0.5789626323
632	0.5789431331
633	0.578926903
634	0.5789033882
635	0.5788869442
636	0.5788728243
637	0.578853704
638	0.5788364921
639	0.5788208561
640	0.5788008661
641	0.578784196
642	0.5787526422
643	0.5787363065
644	0.5787103943
645	0.5786948637
646	0.5786816534
647	0.578664179
648	0.5786449366
649	0.5786286797
650	0.5786068009
651	0.5785848536
652	0.578563718
653	0.5785442598
654	0.5785273419
655	0.5785027598
656	0.5784790313
657	0.5784674671
658	0.5784550915
659	0.5784296804
660	0.5784076268
661	0.5783929376
662	0.5783719043
663	0.5783421597
664	0.5783275247
665	0.5783116575
666	0.5782937513
667	0.5782694119
668	0.5782586485
669	0.5782315382
670	0.5782116194
671	0.5781957941
672	0.5781824467
673	0.5781590728
674	0.578144594
675	0.5781142376
676	0.5780928957
677	0.5780774798
678	0.5780662338
679	0.5780457665
680	0.5780341946
681	0.5780114799
682	0.577991069
683	0.5779686196
684	0.5779441935
685	0.5779285734
686	0.5779036697
687	0.5778888391
688	0.5778744879
689	0.5778550068
690	0.5778405158
691	0.5778223549
692	0.5777944622
693	0.5777737664
694	0.5777439718
695	0.5777283237
696	0.5777109571
697	0.5776880528
698	0.5776746
699	0.5776580877
700	0.5776342165
701	0.5776199425
702	0.5775981742
703	0.5775858636
704	0.5775736704
705	0.5775557488
706	0.5775296921
707	0.5775030221
708	0.5774815162
709	0.5774630608
710	0.5774532175
711	0.5774341025
712	0.5774061152
713	0.5773888994
714	0.5773709811
715	0.5773473272
716	0.5773282823
717	0.577312353
718	0.5772955734
719	0.5772665276
720	0.5772346241
721	0.5772133641
722	0.5771761433
723	0.577158775
724	0.5771441493
725	0.5771322864
726	0.577113908
727	0.5770941321
728	0.5770777
729	0.5770538341
730	0.5770363083
731	0.5770173517
732	0.5769950345
733	0.5769697141
734	0.5769513933
735	0.5769302934
736	0.5769183503
737	0.5769059303
738	0.5768655446
739	0.5768322604
740	0.5768104381
741	0.5767955878
742	0.5767783712
743	0.5767440597
744	0.5767251473
745	0.5767081917
746	0.5766969735
747	0.5766867349
748	0.5766620974
749	0.5766466655
750	0.5766256227
751	0.5766058724
752	0.5765783224
753	0.576561843
754	0.5765474327
755	0.5765359106
756	0.5765194286
757	0.5764985938
758	0.5764838809
759	0.5764719054
760	0.576458321
761	0.576443219
762	0.5764274457
763	0.5764116731
764	0.5763940897
765	0.5763677724
766	0.576347925
767	0.5763233426
768	0.5762974063
769	0.5762758645
770	0.5762604822
771	0.5762457754
772	0.5762312916
773	0.5762145686
774	0.5761997698
775	0.5761787403
776	0.5761634091
777	0.5761374626
778	0.576116605
779	0.576105258
780	0.5760887302
781	0.5760760063
782	0.5760484676
783	0.5760394641
784	0.5760110665
785	0.575991193
786	0.575975257
787	0.5759593366
788	0.5759401229
789	0.5759237406
790	0.5758967575
791	0.5758803398
792	0.5758639723
793	0.5758449914
794	0.5758322081
795	0.5758132854
796	0.5757911583
797	0.575767078
798	0.5757494888
799	0.5757408541
800	0.5757268114
801	0.5757130253
802	0.5756963436
803	0.5756782461
804	0.5756584637
805	0.5756436642
806	0.5756186092
807	0.5756058015
808	0.5755893574
809	0.5755648327
810	0.575549438
811	0.5755298206
812	0.5755139431
813	0.5754986472
814	0.5754827401
815	0.5754650736
816	0.5754532073
817	0.5754345203
818	0.5754137183
819	0.5753909915
820	0.575364271
821	0.5753436185
822	0.5753282251
823	0.5753144807
824	0.5752932334
825	0.5752781263
826	0.5752657595
827	0.5752507119
828	0.5752343427
829	0.5752091246
830	0.5751867525
831	0.5751604923
832	0.5751398266
833	0.5751232607
834	0.5751093954
835	0.5751021316
836	0.5750929605
837	0.5750747848
838	0.5750565587
839	0.5750388166
840	0.5750265932
841	0.575012387
842	0.5749976519
843	0.5749768439
844	0.5749510772
845	0.5749305436
846	0.5749171165
847	0.5749086966
848	0.5748923511
849	0.5748747403
850	0.5748575359
851	0.5748417768
852	0.5748232748
853	0.574803599
854	0.5747864375
855	0.5747762572
856	0.5747606682
857	0.5747502333
858	0.574727968
859	0.5747117322
860	0.5746972
861	0.574684026
862	0.5746702026
863	0.5746497216
864	0.5746328577
865	0.5746159024
866	0.5746027963
867	0.5745864367
868	0.5745665197
869	0.5745436091
870	0.574528259
871	0.5745090104
872	0.5744920845
873	0.5744695836
874	0.5744500691
875	0.5744367619
876	0.5744217957
877	0.5743927719
878	0.5743849059
879	0.5743692083
880	0.5743559398
881	0.5743318794
882	0.5743168995
883	0.5743042224
884	0.5742866121
885	0.5742669794
886	0.5742487952
887	0.5742358462
888	0.5742173193
889	0.5741968907
890	0.5741822443
891	0.5741704499
892	0.5741595495
893	0.5741474815
894	0.574131627
895	0.5741152658
896	0.5741024889
897	0.5740775329
898	0.5740619561
899	0.5740407175
900	0.5740230077
901	0.5740103554
902	0.5739959954
903	0.5739829189
904	0.5739698768
905	0.5739554847
906	0.5739437651
907	0.573922592
908	0.5739035258
909	0.5738952895
910	0.5738783339
911	0.5738607642
912	0.5738488931
913	0.5738321917
914	0.5738206551
915	0.5738084677
916	0.5737877828
917	0.5737743773
918	0.5737657585
919	0.573750508
920	0.5737232564
921	0.5737079339
922	0.573696978
923	0.5736754811
924	0.5736577602
925	0.5736412749
926	0.5736281067
927	0.573613335
928	0.5735951375
929	0.5735640846
930	0.57354625
931	0.5735359634
932	0.5735183767
933	0.5735079256
934	0.573494246
935	0.5734800201
936	0.573455715
937	0.5734380485
938	0.5734254742
939	0.5734084388
940	0.5733846704
941	0.5733676562
942	0.5733504059
943	0.5733394767
944	0.5733244872
945	0.5733157624
946	0.5732933236
947	0.5732786316
948	0.5732674849
949	0.5732543633
950	0.573232529
951	0.5732125233
952	0.5731917023
953	0.5731707271
954	0.5731552361
955	0.573138094
956	0.5731275586
957	0.5731089532
958	0.5730819765
959	0.5730684348
960	0.5730556127
961	0.5730302402
962	0.5730169785
963	0.5729960608
964	0.5729817886
965	0.5729724153
966	0.5729537322
967	0.5729352229
968	0.5729220698
969	0.5729065389
970	0.5728902289
971	0.5728712035
972	0.5728580333
973	0.572838315
974	0.5728214182
975	0.5728099663
976	0.5727871778
977	0.5727692827
978	0.5727469764
979	0.5727321205
980	0.5727201196
981	0.5726996668
982	0.5726870079
983	0.5726740546
984	0.5726600408
985	0.572647011
986	0.5726315064
987	0.5726203355
