iter	Passed	Remaining
0	10	10491
1	20	10001
2	29	9637
3	38	9677
4	47	9504
5	56	9424
6	66	9387
7	74	9249
8	84	9358
9	94	9308
10	103	9276
11	112	9231
12	121	9261
13	130	9206
14	139	9193
15	149	9223
16	159	9232
17	169	9222
18	179	9246
19	189	9282
20	199	9288
21	210	9373
22	221	9403
23	230	9377
24	240	9379
25	249	9356
26	258	9313
27	267	9289
28	277	9279
29	285	9227
30	294	9199
31	302	9161
32	311	9121
33	320	9107
34	329	9078
35	337	9046
36	347	9046
37	357	9043
38	365	8999
39	374	8993
40	384	8983
41	392	8954
42	401	8941
43	411	8941
44	420	8919
45	428	8891
46	438	8896
47	448	8900
48	458	8905
49	467	8877
50	476	8863
51	484	8839
52	493	8814
53	503	8821
54	512	8813
55	521	8795
56	530	8784
57	539	8769
58	548	8740
59	556	8719
60	566	8717
61	575	8701
62	583	8677
63	592	8669
64	600	8643
65	610	8644
66	620	8638
67	629	8623
68	638	8609
69	647	8604
70	656	8589
71	666	8584
72	675	8575
73	683	8551
74	693	8547
75	701	8533
76	710	8514
77	719	8502
78	728	8488
79	737	8476
80	746	8469
81	755	8454
82	763	8439
83	772	8428
84	782	8425
85	791	8416
86	800	8399
87	810	8396
88	819	8387
89	828	8375
90	837	8365
91	845	8348
92	854	8338
93	864	8328
94	873	8318
95	882	8306
96	891	8298
97	899	8281
98	908	8268
99	917	8260
100	927	8252
101	936	8241
102	944	8229
103	954	8222
104	962	8204
105	972	8198
106	981	8193
107	990	8183
108	998	8166
109	1007	8152
110	1016	8142
111	1025	8131
112	1035	8126
113	1045	8124
114	1056	8129
115	1066	8124
116	1075	8116
117	1085	8112
118	1095	8107
119	1105	8104
120	1115	8102
121	1126	8107
122	1136	8105
123	1147	8108
124	1157	8100
125	1167	8098
126	1177	8096
127	1188	8098
128	1197	8087
129	1207	8081
130	1217	8073
131	1226	8068
132	1236	8063
133	1245	8049
134	1254	8041
135	1263	8028
136	1272	8018
137	1281	8001
138	1290	7992
139	1298	7977
140	1308	7969
141	1317	7958
142	1325	7945
143	1335	7937
144	1344	7928
145	1354	7922
146	1363	7909
147	1371	7896
148	1380	7886
149	1390	7877
150	1399	7866
151	1409	7860
152	1418	7852
153	1428	7848
154	1437	7838
155	1447	7830
156	1456	7819
157	1466	7813
158	1475	7804
159	1484	7794
160	1493	7781
161	1501	7769
162	1511	7762
163	1521	7754
164	1531	7751
165	1541	7742
166	1549	7728
167	1559	7721
168	1568	7714
169	1577	7703
170	1586	7691
171	1596	7683
172	1604	7668
173	1612	7656
174	1621	7643
175	1630	7634
176	1639	7623
177	1649	7615
178	1657	7603
179	1666	7589
180	1675	7581
181	1684	7571
182	1692	7557
183	1701	7547
184	1710	7535
185	1719	7526
186	1728	7516
187	1738	7506
188	1748	7503
189	1757	7493
190	1766	7481
191	1776	7476
192	1786	7469
193	1795	7461
194	1805	7452
195	1813	7440
196	1822	7428
197	1832	7420
198	1841	7413
199	1851	7405
200	1860	7396
201	1869	7385
202	1878	7376
203	1886	7362
204	1895	7348
205	1903	7337
206	1913	7330
207	1923	7325
