iter	Logloss
0	0.6759065839
1	0.662598107
2	0.6531344415
3	0.6455821577
4	0.6395015203
5	0.6353791742
6	0.6317763895
7	0.62919787
8	0.626756568
9	0.6247994186
10	0.6233790722
11	0.6216079171
12	0.6201465981
13	0.6190562701
14	0.6177849298
15	0.6169831391
16	0.6160663829
17	0.6153137006
18	0.6145180263
19	0.6136877088
20	0.613073573
21	0.6126668066
22	0.6120351452
23	0.6114738107
24	0.610954114
25	0.6105544652
26	0.6099669509
27	0.6095988977
28	0.6090909985
29	0.6087106084
30	0.6083431028
31	0.6080965729
32	0.6077230812
33	0.6074118715
34	0.6072164659
35	0.606903966
36	0.6065413334
37	0.6062187123
38	0.6059987189
39	0.6057229029
40	0.6054559892
41	0.6052552138
42	0.6049835361
43	0.6046453623
44	0.6044876703
45	0.6042794667
46	0.6039681006
47	0.6037509632
48	0.6035670478
49	0.6033747445
50	0.6032084959
51	0.60302951
52	0.602884508
53	0.6027769564
54	0.6026009403
55	0.6023989734
56	0.6022344883
57	0.6021541262
58	0.6019615695
59	0.6018229521
60	0.601714558
61	0.6016039777
62	0.6013568737
63	0.6012552487
64	0.6011173773
65	0.6009466906
66	0.600779523
67	0.6006676106
68	0.6005639966
69	0.600422733
70	0.6002819316
71	0.6001787251
72	0.6000411667
73	0.5998753426
74	0.5997075295
75	0.5996053439
76	0.5995457849
77	0.5994151375
78	0.5993345223
79	0.5992264634
80	0.5990782134
81	0.599019322
82	0.5989347811
83	0.5988233635
84	0.5987043807
85	0.5986159688
86	0.5985321067
87	0.5984715112
88	0.5983876329
89	0.5983215421
90	0.5982370174
91	0.5981702818
92	0.5980507844
93	0.5979240137
94	0.597842085
95	0.5977387375
96	0.5976142691
97	0.5975302212
98	0.5974132597
99	0.5973263343
100	0.5972414729
101	0.5971742615
102	0.5970934877
103	0.5970114392
104	0.5969261507
105	0.5968478717
106	0.5967316596
107	0.596607024
108	0.5965074451
109	0.5964492671
110	0.596354024
111	0.5962902983
112	0.5962110434
113	0.596139947
114	0.5960461682
115	0.5959922663
116	0.5959337338
117	0.5958707613
118	0.5957885482
119	0.5957110608
120	0.5956171706
121	0.59552939
122	0.5954784472
123	0.5953431013
124	0.5952875398
125	0.5952535913
126	0.5951493732
127	0.595066852
128	0.5949752596
129	0.5948817358
130	0.594809553
131	0.5947535057
132	0.5946807327
133	0.5945801425
134	0.5945347811
135	0.5944862929
136	0.5943992887
137	0.5943478983
138	0.5942590799
139	0.5941944657
140	0.5940905255
141	0.5939934921
142	0.5939250455
143	0.5938614865
144	0.5938215246
145	0.5937581055
146	0.5937296852
147	0.5936518514
148	0.5935939446
149	0.5935426883
150	0.5935038142
151	0.5934328333
152	0.5933081963
153	0.5932566119
154	0.5932077136
155	0.5931437504
156	0.5931039503
157	0.5930532598
158	0.5929939594
159	0.5929270189
160	0.5928791296
161	0.5928248593
162	0.5927265858
163	0.5926346414
164	0.5925795861
165	0.5925227246
166	0.5924887432
167	0.592423214
168	0.5923444698
169	0.5922951816
170	0.5922043677
171	0.592154717
172	0.592112991
173	0.5920402354
174	0.5919647789
175	0.5919194338
176	0.5918658283
177	0.5918044697
178	0.5917558575
179	0.5916515835
180	0.5916207419
181	0.5915553689
182	0.5915088883
183	0.5914702014
184	0.5914118065
185	0.5913631208
186	0.591319719
187	0.5912779591
188	0.5912493176
189	0.5911924985
190	0.5911391038
191	0.5910850097
192	0.5910568542
193	0.5909606845
194	0.5909236319
195	0.5908939415
196	0.5908442451
197	0.5907929484
198	0.59072857
199	0.5906832209
200	0.5906418905
201	0.5905939705
202	0.5905664317
203	0.5905010666
204	0.5904484607
205	0.5904043766
206	0.5903486277
207	0.5902846838
208	0.5902285558
209	0.5901795751
210	0.5901322098
211	0.5900678132
212	0.5900302887
213	0.5899918574
214	0.5899355224
215	0.5898878476
216	0.5898525233
217	0.5898155338
218	0.5897787237
219	0.5897209628
220	0.58968233
221	0.5896441824
222	0.5896117657
223	0.5895451457
224	0.5894744967
225	0.5894297092
226	0.5893778544
227	0.5893354161
228	0.5893044744
229	0.5892734038
230	0.589240355
231	0.5892029511
232	0.5891673359
233	0.5891291339
234	0.5890976743
235	0.5890576402
236	0.5890196279
237	0.5889935623
238	0.5889496174
239	0.5888988794
240	0.5888576428
241	0.5888334195
242	0.5887997329
243	0.5887478492
244	0.5887119984
245	0.5886509143
246	0.5886106391
247	0.5885595764
248	0.5885179385
249	0.5884880177
250	0.5884465052
251	0.5883917937
252	0.5883541849
253	0.5883083867
254	0.5882646531
255	0.5882111505
256	0.5881803259
257	0.5881601374
258	0.5881267764
259	0.5880906637
260	0.5880507123
261	0.5880049533
262	0.5879816632
263	0.5879380567
264	0.5879021486
265	0.5878414409
266	0.5878179702
267	0.5877767346
268	0.5877542665
269	0.5877126797
270	0.5876718124
271	0.5876314903
272	0.5875955418
273	0.5875565207
274	0.587520093
275	0.5874745389
276	0.5874480881
277	0.587414721
278	0.5873644498
279	0.5873350527
280	0.5872909422
281	0.5872585682
282	0.5872188504
283	0.587177952
284	0.5871475239
285	0.5870820658
286	0.5870384732
287	0.5869977927
288	0.5869589975
289	0.5868633504
290	0.5868229893
291	0.5867879989
292	0.5867191286
293	0.5866765201
294	0.5866399416
295	0.5866072779
296	0.5865720735
297	0.5865276428
298	0.5865070673
299	0.5864645927
300	0.5864306412
301	0.586402947
302	0.5863718203
303	0.5863283122
304	0.5862832537
305	0.5862434522
306	0.5861967105
307	0.5861670282
308	0.5861433525
309	0.5861117956
310	0.5860763165
311	0.586045106
312	0.5860003775
313	0.5859672957
314	0.5859460433
315	0.585900268
316	0.5858543022
317	0.5858274174
318	0.5858089308
319	0.5857764192
320	0.5857433789
321	0.5857050973
322	0.5856798369
323	0.5856525546
324	0.5856184958
