iter	Passed	Remaining
0	9	9059
1	18	8988
2	27	9029
3	36	9073
4	45	9034
5	53	8852
6	62	8861
7	72	9008
8	81	8926
9	93	9229
10	102	9213
11	112	9272
12	123	9349
13	132	9320
14	141	9268
15	149	9198
16	159	9197
17	169	9237
18	178	9217
19	187	9195
20	197	9190
21	206	9187
22	214	9132
23	223	9082
24	232	9061
25	240	9021
26	248	8971
27	257	8938
28	265	8898
29	275	8894
30	283	8849
31	291	8812
32	299	8783
33	308	8752
34	316	8730
35	325	8705
36	334	8694
37	342	8679
38	351	8664
39	360	8662
40	369	8645
41	378	8634
42	386	8611
43	396	8614
44	405	8613
45	415	8612
46	424	8603
47	432	8573
48	440	8558
49	449	8540
50	458	8533
51	467	8530
52	475	8500
53	484	8496
54	494	8497
55	503	8493
56	512	8471
57	520	8452
58	528	8435
59	537	8415
60	545	8402
61	554	8385
62	563	8380
63	572	8376
64	580	8351
65	588	8329
66	597	8327
67	608	8336
68	617	8326
69	625	8310
70	633	8292
71	642	8280
72	650	8261
73	658	8244
74	667	8231
75	680	8270
76	689	8263
77	698	8254
78	707	8249
79	717	8245
80	726	8237
81	735	8231
82	744	8223
83	753	8219
84	761	8202
85	770	8193
86	780	8189
87	789	8184
88	798	8172
89	807	8162
90	814	8140
91	824	8137
92	833	8130
93	842	8115
94	851	8113
95	860	8100
96	868	8085
97	878	8081
98	887	8073
99	895	8060
100	903	8042
101	912	8035
102	921	8021
103	930	8012
104	937	7994
105	947	7988
106	955	7977
107	965	7975
108	973	7958
109	982	7950
110	992	7949
111	1002	7947
112	1011	7937
113	1020	7928
114	1028	7917
115	1037	7907
116	1047	7904
117	1055	7892
118	1063	7876
119	1072	7867
120	1081	7855
121	1090	7846
122	1099	7839
123	1108	7834
124	1118	7827
125	1128	7826
126	1137	7817
127	1146	7812
128	1155	7801
129	1164	7790
130	1173	7786
131	1182	7777
132	1191	7764
133	1199	7755
134	1209	7751
135	1219	7744
136	1228	7736
137	1237	7730
138	1245	7717
139	1254	7709
140	1264	7702
141	1273	7693
142	1282	7683
143	1290	7671
144	1299	7663
145	1309	7659
146	1319	7653
147	1327	7643
148	1337	7639
149	1347	7633
150	1354	7617
151	1363	7608
152	1373	7603
153	1382	7592
154	1390	7579
155	1399	7570
156	1408	7561
157	1417	7556
158	1426	7547
159	1436	7539
160	1445	7534
161	1454	7526
162	1464	7518
163	1474	7513
164	1482	7503
165	1491	7493
166	1500	7485
167	1510	7478
168	1518	7466
169	1527	7455
170	1536	7447
171	1545	7438
172	1553	7426
173	1562	7417
174	1571	7410
175	1580	7399
176	1589	7389
177	1597	7379
178	1607	7373
179	1616	7363
180	1625	7356
181	1634	7345
182	1643	7339
183	1652	7329
184	1661	7319
185	1669	7308
186	1678	7299
187	1688	7293
188	1698	7287
189	1706	7275
190	1716	7268
191	1725	7260
192	1734	7253
193	1743	7245
194	1753	7239
195	1764	7236
196	1773	7228
197	1781	7217
198	1792	7213
199	1801	7205
200	1810	7196
201	1818	7185
202	1826	7171
203	1835	7162
204	1844	7153
205	1854	7146
206	1864	7141
207	1872	7129
208	1882	7122
209	1890	7111
210	1900	7105
211	1908	7094
212	1917	7085
213	1926	7077
214	1935	7066
215	1945	7060
216	1953	7050
217	1961	7036
218	1970	7026
219	1980	7021
220	1989	7012
221	1999	7005
222	2008	6996
223	2017	6987
224	2026	6979
225	2035	6972
226	2045	6964
227	2053	6954
228	2063	6947
229	2072	6940
230	2082	6931
231	2091	6923
232	2099	6912
